Sample_ID,Completeness,Contamination,WGS_5S,WGS_16S,WGS_23S,WGS_tRNA,Quality_Classification
AC-312_M18,0,0,0,0,0,2,Low
AC-312_M19,54.07,0,0,1,0,24,Medium
AC-312_M21,54.77,2.91,2,1,1,22,Medium
AC-312_N03,10.66,0,1,0,1,5,Low
AC-312_N07,58.24,0,0,1,1,27,Medium
AC-312_N09,37.72,0,0,1,1,27,Low
AC-312_N10,4.17,0,1,1,1,5,Low
AC-312_N11,9.22,0,0,0,0,4,Low
AC-312_N17,0,0,0,0,0,9,Low
AC-312_N18,0,0,0,0,0,6,Low
AC-312_N19,0,0,1,1,1,2,Low
AC-312_N20,56.9,0,1,1,1,20,Medium
AC-312_N23,20.22,0,0,1,1,8,Low
AC-312_O02,13.51,0,1,0,0,5,Low
AC-312_O22,0,0,0,0,0,3,Low
AC-312_O23,4.17,0,1,1,1,3,Low
AC-312_P03,0,0,0,0,0,3,Low
AC-312_P07,43.83,0,1,1,1,17,Low
AC-312_P08,50.29,0,1,1,1,29,Medium
AC-312_P16,10.32,0,1,1,1,5,Low
AC-312_P17,16.98,0,0,0,0,2,Low
AC-312_P18,13.55,0,0,0,0,6,Low
AC-337_A09,0,0,0,1,0,2,Low
AC-337_A14,0,0,1,1,1,9,Low
AC-337_B10,9.48,0,0,1,0,8,Low
AC-337_B16,40.34,0,1,1,1,22,Low
AC-337_C04,47.3,0,1,1,1,21,Low
AC-337_C05,8.33,0,2,2,4,20,Low
AC-337_C06,64.74,0,1,1,1,35,Medium
AC-337_C08,42.91,0,0,1,1,20,Low
AC-337_C14,8.33,0,1,1,2,20,Low
AC-337_D02,8.33,0,0,1,0,10,Low
AC-337_E02,13.79,0,1,1,1,20,Low
AC-337_E14,93.93,0,1,1,1,43,High
AC-337_F14,39.24,1.79,0,1,1,18,Low
AC-337_F16,9.6,0,0,0,0,7,Low
AC-337_F21,40.3,0,0,1,1,18,Low
AC-337_G17,10.45,0,1,1,1,3,Low
AC-337_J13,3.88,0,0,1,1,3,Low
AC-337_J20,9.72,0,0,0,1,7,Low
AC-337_K10,0,0,1,1,1,8,Low
AC-337_K15,0,0,1,1,1,7,Low
AC-337_K21,8.62,0,0,1,0,5,Low
AC-337_L13,30.42,0,0,1,1,11,Low
AC-337_M13,31.47,0.78,0,1,1,12,Low
AC-337_M17,0,0,1,1,2,5,Low
AC-337_M22,6.8,0,0,1,1,2,Low
AC-337_N04,6.8,0,0,1,1,2,Low
AC-337_P08,42.31,0.77,1,1,1,32,Low
AC-337_P14,43.4,0,1,1,1,12,Low
AC-669_D18,40.86,0,1,1,1,22,Low
AC-669_E06,38.4,0,1,1,1,22,Low
AC-669_G16,65.85,0.6,1,1,1,31,Medium
AC-669_I04,20.69,1.72,0,1,0,12,Low
AC-669_I09,57.07,4.6,1,0,1,27,Medium
AC-669_I11,18.97,1.72,1,1,1,11,Low
AC-669_I15,48.07,1.72,1,1,1,21,Low
AC-669_I23,33.62,3.45,1,0,1,22,Low
AC-669_J02,28.1,1.72,1,1,1,10,Low
AC-669_J05,27.59,5.17,0,1,1,19,Low
AC-669_J08,29.2,1.66,1,1,1,12,Low
AC-669_J09,36.21,1.72,1,0,1,11,Low
AC-669_J11,31.84,2.58,1,1,1,20,Low
AC-669_J17,31.03,1.72,0,0,0,13,Low
AC-669_J20,32.76,0,1,1,1,14,Low
AC-669_J22,58.79,4.89,1,1,1,35,Medium
AC-669_K10,39.66,3.45,1,1,1,21,Low
AC-669_K11,6.9,0,2,1,1,7,Low
AC-669_K16,12.5,16.67,0,0,0,15,Low
AC-669_K18,26.18,2.85,0,1,0,13,Low
AC-669_K20,51.09,2.17,0,0,0,17,Medium
AC-669_K21,44.83,3.45,1,1,1,20,Low
AC-669_K22,0,0,0,0,0,10,Low
AC-669_L02,33.97,2.17,1,0,1,17,Low
AC-669_L03,32.76,0,1,1,1,14,Low
AC-669_L06,37.93,3.45,0,1,1,20,Low
AC-669_M06,33.62,2.87,1,1,1,19,Low
AC-669_M07,43.59,4.21,0,1,1,23,Low
AC-669_M10,19.86,0.68,1,1,1,10,Low
AC-669_M13,37.93,2.59,0,0,0,11,Low
AC-669_M16,38.56,1.72,1,1,1,15,Low
AC-669_M19,13.79,1.72,1,0,1,6,Low
AC-669_M20,13.79,0,1,1,1,8,Low
AC-669_N07,35.24,4.81,1,1,1,20,Low
AC-669_N11,32.56,2.67,0,0,0,9,Low
AC-669_N18,34.14,1.37,1,1,1,20,Low
AC-669_N22,29.17,4.21,1,1,1,14,Low
AC-669_N23,36.54,4.44,1,1,1,22,Low
AC-669_O10,16.67,1.09,0,0,0,13,Low
AC-669_O11,65.62,2.72,1,0,0,27,Medium
AC-669_O14,36.21,1.72,1,0,1,36,Low
AC-669_O17,25,0,1,1,1,21,Low
AC-669_P08,43.25,4.57,0,0,0,15,Low
AC-669_P10,18.97,1.72,1,1,1,13,Low
AC-669_P19,43.81,2.17,0,0,0,26,Low
AD-305_A02,22.81,0,1,1,1,6,Low
AD-305_A06,17.01,0,0,0,0,9,Low
AD-305_A20,72.42,0,1,1,1,23,Medium
AD-305_B07,29.35,0,0,0,0,15,Low
AD-305_B13,20.82,0,0,0,0,8,Low
AD-305_B19,28.03,0,0,0,0,11,Low
AD-305_C11,7.68,0,0,0,0,1,Low
AD-305_D02,15.83,0,0,0,0,6,Low
AD-305_D09,40.13,0,0,0,0,9,Low
AD-305_F05,75.73,0,0,1,1,36,Medium
AD-305_F13,34.26,0,0,0,0,14,Low
AD-305_G05,19.96,0,0,1,0,5,Low
AD-305_G18,27.84,0,0,0,0,11,Low
AD-305_I04,39.32,0,1,1,1,10,Low
AD-305_I16,21.7,0.2,0,0,0,11,Low
AD-305_I18,3.27,0,0,0,0,6,Low
AD-305_J03,38.6,0,1,1,1,17,Low
AD-305_J04,34.2,0,1,1,1,12,Low
AD-305_J08,25.86,0,0,0,0,4,Low
AD-305_J10,81.52,0,1,1,1,27,Medium
AD-305_J20,46.69,0,1,1,1,28,Low
AD-305_K06,26.18,0,1,1,1,18,Low
AD-305_L22,21.7,0.82,0,0,0,6,Low
AD-305_M23,17.54,0,1,1,1,2,Low
AD-305_N05,27.55,0.41,1,1,1,5,Low
AD-305_P03,40.49,0,1,0,0,17,Low
AD-305_P06,47.02,0,1,1,1,17,Low
AD-305_P17,27.93,0.41,0,0,0,10,Low
AD-305_P19,33.55,0,0,0,0,2,Low
AD-308_A09,54.11,0.17,0,0,0,15,Medium
AD-308_B11,53.56,0,1,1,1,26,Medium
AD-308_B14,22.81,0,1,1,1,2,Low
AD-308_B20,0,0,0,0,0,14,Low
AD-308_C02,16.67,1.75,1,1,1,2,Low
AD-308_C03,0,0,0,0,0,0,Low
AD-308_C14,13.79,1.72,0,0,0,7,Low
AD-308_C15,22.41,0,0,0,0,12,Low
AD-308_C23,26.64,0,1,1,1,12,Low
AD-308_D03,43.75,0.34,0,0,0,14,Low
AD-308_D05,70.71,0,0,1,1,34,Medium
AD-308_D14,3.45,0,0,0,1,4,Low
AD-308_E02,10.53,0,1,1,1,4,Low
AD-308_E03,18.34,0,1,1,1,5,Low
AD-308_E18,19.3,0,0,0,0,1,Low
AD-308_F15,6.9,0,0,0,0,3,Low
AD-308_F16,12.07,0,0,0,0,0,Low
AD-308_G08,25.59,0,1,1,1,15,Low
AD-308_I03,6.9,0,0,0,0,8,Low
AD-308_I21,26.32,0,0,0,0,6,Low
AD-308_J19,13.79,0,1,0,0,16,Low
AD-308_J20,12.07,0,0,0,0,6,Low
AD-308_K03,23.06,0,0,0,0,5,Low
AD-308_L02,25.15,0,1,1,1,13,Low
AD-308_L10,0,0,0,0,0,5,Low
AD-308_M17,5.17,0,0,0,0,1,Low
AD-308_M23,40.91,0.66,1,1,1,21,Low
AD-308_N05,12.07,0,2,1,2,2,Low
AD-308_N13,0,0,0,0,0,7,Low
AD-308_O04,20.01,0,1,1,1,9,Low
AD-308_O09,7.76,0,0,0,0,3,Low
AD-308_P08,69.54,0,1,1,1,26,Medium
AD-308_P11,16.8,0,0,0,0,3,Low
AD-308_P19,44.42,7.92,1,1,1,32,Low
AD-311_B11,52.25,0.79,0,0,0,21,Medium
AD-311_C03,53.35,0.17,1,1,1,23,Medium
AD-311_C15,21.09,0,0,0,0,16,Low
AD-311_E10,10.61,0,0,0,0,0,Low
AD-311_E16,15.92,0,0,0,0,4,Low
AD-311_F02,7.02,0,0,0,0,4,Low
AD-311_F06,36.48,0.41,1,0,1,19,Low
AD-311_F16,54.14,0,1,0,1,23,Medium
AD-311_I10,4.17,0,0,0,0,11,Low
AD-311_J09,42.01,0,1,1,1,10,Low
AD-311_K05,8.33,0,0,1,1,5,Low
AD-311_K21,49.8,0,1,1,1,14,Low
AD-311_M04,41.85,0,1,1,1,18,Low
AD-311_M19,42.86,1.63,1,1,1,14,Low
AD-311_N02,46.86,0.2,1,1,1,26,Low
AD-311_O03,48.96,0,2,0,0,10,Low
AD-311_O20,72.04,1.02,1,1,1,26,Medium
AD-311_O21,71.84,0,0,1,1,33,Medium
AD-311_P13,52.99,0.45,1,1,1,25,Medium
AD-311_P14,0,0,1,1,1,5,Low
AD-598_A14,35.34,0,0,0,0,7,Low
AD-598_A18,31.03,0.86,1,0,1,15,Low
AD-598_A20,26.72,0,0,0,0,16,Low
AD-598_B06,22.41,0,1,1,1,14,Low
AD-598_C06,35.19,0,1,1,1,22,Low
AD-598_D04,0,0,0,0,0,3,Low
AD-598_D21,31.38,0,0,0,0,9,Low
AD-598_D22,21.71,0,0,0,1,9,Low
AD-598_E21,13.79,0,0,0,0,2,Low
AD-598_E22,4.17,0,1,1,1,6,Low
AD-598_F05,20.69,0,1,1,1,13,Low
AD-598_G19,17.24,1.72,0,1,1,16,Low
AD-598_I02,22.41,0,0,1,0,14,Low
AD-598_I13,0,0,0,0,0,1,Low
AD-598_K13,18.97,3.45,1,0,1,10,Low
AD-598_L02,12.07,0,1,1,1,7,Low
AD-598_N22,12.07,1.72,1,0,1,7,Low
AD-598_P08,18.97,0,1,1,1,8,Low
AD-598_P19,13.79,1.72,1,1,1,7,Low
AD-602_B03,45.45,0.86,0,0,0,13,Low
AD-602_C09,39.58,2.61,1,1,1,14,Low
AD-602_F14,46.84,0,1,1,1,32,Low
AD-602_M15,17.24,0,1,1,2,9,Low
AD-602_N15,23.17,0,1,1,1,14,Low
AD-602_P07,3.45,0,1,1,1,4,Low
AD-604_A07,24.32,0,1,1,1,9,Low
AD-604_A10,39.66,1.72,1,1,1,27,Low
AD-604_A11,30,0,1,1,1,14,Low
AD-604_C09,18.34,0,0,1,0,5,Low
AD-604_D05,4.17,0,1,1,1,5,Low
AD-604_D17,50.48,0,1,1,1,34,Medium
AD-604_D22,37.93,0,1,1,1,21,Low
AD-604_K11,12.28,0,1,1,1,9,Low
AD-604_K18,16.54,0,1,1,1,19,Low
AD-604_M14,8.33,0,1,1,1,7,Low
AD-604_O10,45.18,0.54,1,1,1,23,Low
AD-606_A07,74.73,0,1,1,1,30,Medium
AD-606_A17,85.19,0,0,1,1,35,Medium
AD-606_B18,50,0,1,1,1,19,Medium
AD-606_C10,12.07,0,1,1,1,6,Low
AD-606_C16,8.33,0,0,0,0,9,Low
AD-606_D22,23.64,0,1,1,1,19,Low
AD-606_E23,22.41,3.45,1,1,1,22,Low
AD-606_J22,10.34,0,1,1,1,9,Low
AD-606_L04,5.17,0,1,1,1,4,Low
AD-606_L11,14.43,0,0,0,0,8,Low
AD-606_N11,28,0,1,1,1,8,Low
AD-606_O08,0,0,0,1,1,2,Low
AD-606_P02,20.83,0,1,1,1,14,Low
AD-613_A02,36.89,1.94,1,1,1,10,Low
AD-613_A22,51.28,0,1,1,1,11,Medium
AD-613_B14,0,0,1,1,1,6,Low
AD-613_B17,34.48,0,1,1,1,15,Low
AD-613_B20,79.13,1.94,1,1,1,34,Medium
AD-613_B23,59.99,0,1,1,1,26,Medium
AD-613_C14,40.94,0,0,0,0,14,Low
AD-613_E13,48.79,0,0,0,0,18,Low
AD-613_E14,17.08,0,0,0,0,13,Low
AD-613_M13,36.97,0,0,0,0,16,Low
AD-613_M16,40.61,2.18,0,0,0,15,Low
AD-613_O09,5.61,0,0,0,0,8,Low
AD-613_O15,65.53,0,1,1,1,33,Medium
AD-615_C03,43.44,0.18,1,1,1,20,Low
AD-615_C15,17.81,0,1,1,1,15,Low
AD-615_D11,46.04,0,1,1,1,19,Low
AD-615_D17,61.01,0.37,1,1,1,24,Medium
AD-615_E22,49.73,0,1,1,1,25,Low
AD-615_F09,5.61,0,0,0,0,9,Low
AD-615_F19,9.75,0,1,0,1,3,Low
AD-615_G17,18.39,0,1,1,1,9,Low
AD-615_J06,12.15,0,1,1,1,7,Low
AD-615_K15,7.76,0,0,1,1,6,Low
AD-615_M11,58.64,0,1,1,1,14,Medium
AG-311-D23,72.96,0,1,1,1,33,Medium
AG-311-I02,11.16,0,0,0,0,8,Low
AG-311-I09,47.41,0,0,0,0,15,Low
AG-311-J05,34.64,0,0,0,0,15,Low
AG-311-J23,77.9,0.27,1,1,1,35,Medium
AG-311-K14,20.69,0,0,0,0,4,Low
AG-311-K16,0,0,0,0,0,0,Low
AG-311-K20,0,0,0,0,0,0,Low
AG-311-K21,46.35,0.54,0,0,0,15,Low
AG-311-K22,12.5,0,0,0,0,4,Low
AG-311-L21,15.67,0,0,0,0,5,Low
AG-311-L23,4.17,0,1,1,1,11,Low
AG-311-M15,10.34,0,1,1,1,9,Low
AG-311-M23,41.78,0,1,1,1,18,Low
AG-311-N15,0,0,0,0,0,0,Low
AG-311-N19,16.11,0,0,0,0,5,Low
AG-313-A02,0,0,0,0,0,0,Low
AG-313-A03,55.46,1.15,1,0,1,17,Medium
AG-313-A04,91.89,0,0,1,1,27,Medium
AG-313-A06,15.15,0.48,0,0,0,3,Low
AG-313-A07,70.33,0.65,1,1,1,31,Medium
AG-313-A08,4.17,0,0,0,0,0,Low
AG-313-A10,52.17,0,1,1,1,26,Medium
AG-313-A11,57.36,0,0,1,1,11,Medium
AG-313-A13,29.25,0,0,0,0,12,Low
AG-313-A14,67.29,0,1,1,1,22,Medium
AG-313-A15,56.95,0.17,0,0,0,20,Medium
AG-313-A16,0,0,0,0,0,0,Low
AG-313-A17,24.14,0,0,0,0,9,Low
AG-313-A18,15.27,0,0,0,0,10,Low
AG-313-A19,0,0,0,0,0,1,Low
AG-313-A20,33.06,0,1,0,1,18,Low
AG-313-A22,34.59,0.47,0,1,1,13,Low
AG-313-A23,4.17,0,0,0,0,12,Low
AG-313-B02,0,0,0,1,1,6,Low
AG-313-B04,62.22,0,0,0,0,23,Medium
AG-313-B05,45.69,0,0,0,0,22,Low
AG-313-B08,5.66,0,0,0,0,1,Low
AG-313-B09,63.39,0.14,1,1,1,21,Medium
AG-313-B10,15.09,1.89,0,0,0,5,Low
AG-313-B11,0,0,0,0,0,2,Low
AG-313-B13,56.71,0.08,0,0,0,26,Medium
AG-313-B14,0,0,0,0,0,0,Low
AG-313-B15,0,0,0,0,0,5,Low
AG-313-B16,0,0,0,0,0,0,Low
AG-313-B18,0,0,0,0,0,2,Low
AG-313-B19,16.98,0,0,0,0,5,Low
AG-313-B20,49.63,0,1,1,1,18,Low
AG-313-B21,22.64,0,1,0,0,6,Low
AG-313-B22,58.01,0,1,1,1,17,Medium
AG-313-C02,15.8,0,0,0,0,7,Low
AG-313-C03,68.79,0,0,0,0,19,Medium
AG-313-C04,85.6,0,1,0,1,34,Medium
AG-313-C05,41.61,0.5,1,1,1,16,Low
AG-313-C07,24.14,0,0,0,0,19,Low
AG-313-C08,56.41,1.28,1,1,1,30,Medium
AG-313-C13,15.09,0,0,0,0,11,Low
AG-313-C14,36.13,0,0,0,0,15,Low
AG-313-C17,55.89,0,1,0,1,21,Medium
AG-313-C18,57.09,0.85,1,1,1,38,Medium
AG-313-C20,51.83,0,0,0,0,14,Medium
AG-313-C23,4.17,0,0,0,0,4,Low
AG-313-D02,57.19,0,1,1,1,26,Medium
AG-313-D03,1.72,0,0,0,0,1,Low
AG-313-D04,5.36,0,0,0,0,0,Low
AG-313-D06,0,0,0,0,0,1,Low
AG-313-D08,89.9,0,1,1,1,32,Medium
AG-313-D09,61.16,0,1,1,1,21,Medium
AG-313-D10,32.08,0,0,0,0,3,Low
AG-313-D11,55.6,0.07,1,1,1,35,Medium
AG-313-D14,1.89,0,0,0,0,0,Low
AG-313-D15,55.53,0.07,1,0,1,33,Medium
AG-313-D16,23.58,0,1,1,1,17,Low
AG-313-D17,25.19,0.47,0,0,0,15,Low
AG-313-D18,37.71,0.48,1,1,1,14,Low
AG-313-D19,16.98,0.51,0,0,0,0,Low
AG-313-D20,16.47,0,0,0,0,3,Low
AG-313-D21,81.93,0.6,0,0,0,32,Medium
AG-313-D23,8.75,1.58,1,0,0,6,Low
AG-313-E05,0,0,0,0,0,5,Low
AG-313-E06,5.49,0,0,0,0,6,Low
AG-313-E08,4.86,0,0,0,0,4,Low
AG-313-E09,7.55,0,0,1,1,5,Low
AG-313-E13,68.08,0,0,1,0,20,Medium
AG-313-E14,10.69,0,0,0,1,8,Low
AG-313-E15,18.87,0,0,0,0,6,Low
AG-313-E16,0,0,1,0,0,7,Low
AG-313-E21,13.21,0,0,0,0,4,Low
AG-313-E23,11.61,0,0,0,0,12,Low
AG-313-F04,16.12,0.17,0,0,0,8,Low
AG-313-F05,32.29,0,0,0,0,24,Low
AG-313-F06,73.02,0,1,1,1,32,Medium
AG-313-F09,0,0,0,1,1,4,Low
AG-313-F10,1.04,0,0,0,0,3,Low
AG-313-F11,67.56,0,1,1,1,26,Medium
AG-313-F17,44.83,0,1,1,1,18,Low
AG-313-F18,50,0,0,0,0,18,Medium
AG-313-F19,36.15,0,0,0,0,13,Low
AG-313-F20,46.21,0.69,1,1,1,18,Low
AG-313-G03,12.93,0,1,0,0,1,Low
AG-313-G04,7.55,0,0,0,0,3,Low
AG-313-G06,38.47,0.47,2,1,1,18,Low
AG-313-G08,58.28,0,1,1,1,17,Medium
AG-313-G10,4.63,0,0,0,0,4,Low
AG-313-G11,37.74,0,1,0,0,13,Low
AG-313-G17,27.29,0,0,1,1,6,Low
AG-313-G19,19.22,0,1,0,0,15,Low
AG-313-G20,28.3,0,0,0,0,6,Low
AG-313-G22,13.21,0,1,0,0,5,Low
AG-313-I02,4.46,1.89,0,0,0,1,Low
AG-313-I04,27.36,0,0,0,0,3,Low
AG-313-I05,20.14,0,0,0,0,11,Low
AG-313-I06,25.47,0,1,0,0,2,Low
AG-313-I07,0,0,0,0,0,3,Low
AG-313-I08,60.67,0,1,1,1,25,Medium
AG-313-I09,54.7,1.28,0,0,0,36,Medium
AG-313-I11,28.15,0.52,0,0,0,9,Low
AG-313-I13,41.37,1.28,0,0,0,30,Low
AG-313-I14,53.14,0,1,1,1,27,Medium
AG-313-I15,62.15,0,0,0,0,28,Medium
AG-313-I16,29.16,0,1,1,1,12,Low
AG-313-I17,59.06,0.33,0,0,0,26,Medium
AG-313-I18,54.84,0,0,1,1,17,Medium
AG-313-I19,0,0,0,0,0,7,Low
AG-313-I22,49.43,0.85,0,0,0,34,Low
AG-313-J03,8.33,0,0,0,0,12,Low
AG-313-J04,52.01,0.3,0,0,0,23,Medium
AG-313-J05,32.15,0,0,0,1,18,Low
AG-313-J06,6.9,0,0,0,0,3,Low
AG-313-J08,17.96,0,0,1,1,4,Low
AG-313-J09,0,0,0,0,0,0,Low
AG-313-J10,73.66,0.33,1,1,1,26,Medium
AG-313-J11,18.87,0,0,0,0,10,Low
AG-313-J13,65.31,0,1,0,1,23,Medium
AG-313-J14,18.39,0,1,0,1,8,Low
AG-313-J15,52.46,0,1,0,1,27,Medium
AG-313-J16,0,0,0,0,0,1,Low
AG-313-J17,58.85,0.3,0,0,0,22,Medium
AG-313-J19,56.01,0.95,1,0,0,12,Medium
AG-313-J22,68.38,0,1,1,1,26,Medium
AG-313-K04,4.17,0,0,0,0,1,Low
AG-313-K05,15.09,0,0,0,0,5,Low
AG-313-K06,0,0,0,0,0,0,Low
AG-313-K08,41.51,0,0,0,0,22,Low
AG-313-K09,0,0,0,0,0,0,Low
AG-313-K10,28.3,0,0,0,0,3,Low
AG-313-K11,7.55,0,0,0,0,2,Low
AG-313-K13,4.31,0,0,0,0,2,Low
AG-313-K14,11.06,0,0,0,0,1,Low
AG-313-K15,25.86,0,0,0,0,14,Low
AG-313-K16,57.21,0,1,1,1,21,Medium
AG-313-K17,15.09,0,0,0,0,2,Low
AG-313-K18,32.13,0.43,0,0,0,22,Low
AG-313-K22,32.25,0,0,0,0,7,Low
AG-313-K23,0,0,1,1,1,5,Low
AG-313-L02,24.05,0,0,0,0,11,Low
AG-313-L03,12.07,0,0,0,0,3,Low
AG-313-L04,24.87,0,0,0,0,15,Low
AG-313-L05,76.68,0.47,1,1,1,33,Medium
AG-313-L06,4.17,0,1,0,0,2,Low
AG-313-L08,7.55,0,0,0,0,8,Low
AG-313-L09,23.02,0,0,1,1,5,Low
AG-313-L10,52.68,0.93,1,1,1,25,Medium
AG-313-L13,19.98,0,0,0,0,8,Low
AG-313-L14,66.91,1.28,1,1,1,39,Medium
AG-313-L15,24.08,1.13,0,0,0,15,Low
AG-313-L16,32.41,0,1,1,1,19,Low
AG-313-L17,7.14,0,0,0,0,3,Low
AG-313-L18,69.15,0,1,1,1,34,Medium
AG-313-L19,60.57,0.43,1,1,1,31,Medium
AG-313-L20,13.21,0,0,0,0,4,Low
AG-313-L21,60.76,0.09,1,1,1,24,Medium
AG-313-L22,28.07,0,0,0,0,13,Low
AG-313-L23,36.26,0,1,0,0,15,Low
AG-313-M02,0,0,0,0,0,0,Low
AG-313-M04,30.96,0,1,1,1,15,Low
AG-313-M05,0,0,0,0,0,1,Low
AG-313-M06,11.22,0,0,0,0,3,Low
AG-313-M07,0,0,0,0,0,3,Low
AG-313-M08,24.14,0,0,0,0,7,Low
AG-313-M09,34.48,0,0,0,0,20,Low
AG-313-M10,79.14,0,1,1,1,29,Medium
AG-313-M11,72.41,0,0,0,0,26,Medium
AG-313-M14,22.79,0,0,0,0,11,Low
AG-313-M16,22.57,0,0,0,0,11,Low
AG-313-M18,24.14,0,0,0,0,4,Low
AG-313-M20,44.63,0.57,0,0,0,20,Low
AG-313-M21,62.26,0,0,0,0,23,Medium
AG-313-M22,19.81,0,0,0,0,5,Low
AG-313-N02,0,0,0,0,0,0,Low
AG-313-N03,42.83,0,1,0,0,8,Low
AG-313-N04,11.32,1.89,0,0,0,1,Low
AG-313-N05,0,0,0,0,0,3,Low
AG-313-N06,11.32,0,0,0,0,1,Low
AG-313-N07,13.21,0,0,0,0,3,Low
AG-313-N11,0,0,1,1,1,5,Low
AG-313-N13,58.08,0,1,1,1,28,Medium
AG-313-N14,0,0,0,0,0,4,Low
AG-313-N15,43.05,0.17,0,0,0,19,Low
AG-313-N16,23.96,0,1,1,1,8,Low
AG-313-N17,24.14,0.86,0,0,0,7,Low
AG-313-N18,59.54,0.07,1,0,1,24,Medium
AG-313-N19,4.17,0,0,0,0,0,Low
AG-313-N20,39.62,0,0,0,0,14,Low
AG-313-N21,14.15,0,0,0,0,5,Low
AG-313-N22,47.42,0,1,0,1,20,Low
AG-313-O03,18.87,1.89,0,0,0,7,Low
AG-313-O04,0,0,0,0,0,2,Low
AG-313-O05,9.43,0,0,0,0,7,Low
AG-313-O06,12.83,0,0,0,0,5,Low
AG-313-O08,52.51,0,1,1,1,23,Medium
AG-313-O09,41.15,0,0,0,0,17,Low
AG-313-O10,7.55,0,0,0,0,3,Low
AG-313-O13,44.86,0,1,0,0,11,Low
AG-313-O16,17.92,0,0,1,1,12,Low
AG-313-O17,12.5,0,0,0,0,2,Low
AG-313-O19,31.24,0,0,0,0,14,Low
AG-313-O21,16.07,0,1,0,1,5,Low
AG-313-O22,13.21,0,0,1,1,4,Low
AG-313-O23,0,0,1,0,0,0,Low
AG-313-P01,16.98,0,0,0,0,5,Low
AG-313-P02,22.64,0,0,0,0,2,Low
AG-313-P05,2.8,0,0,0,0,3,Low
AG-313-P06,28.3,0,0,0,0,8,Low
AG-313-P07,29.31,0,0,0,0,19,Low
AG-313-P08,24.53,0,1,0,0,5,Low
AG-313-P09,31.03,0,0,0,0,9,Low
AG-313-P13,39.87,0,0,0,0,15,Low
AG-313-P14,12.5,0,0,0,0,11,Low
AG-313-P15,31.03,0,0,0,0,13,Low
AG-313-P16,62.43,0.07,1,0,1,33,Medium
AG-313-P17,24.7,0,0,0,0,4,Low
AG-313-P18,13.21,0,0,1,1,5,Low
AG-313-P19,17.09,0,0,0,0,6,Low
AG-313-P20,10.53,0,0,0,0,1,Low
AG-313-P22,6.18,0.79,0,0,0,2,Low
AG-313-P23,4.17,0,0,0,0,0,Low
AG-315-A03,29.31,1.72,0,0,0,12,Low
AG-315-B03,56.97,0,1,0,1,24,Medium
AG-315-C08,53.87,0.54,0,1,1,20,Medium
AG-315-C22,40.3,0,0,0,0,14,Low
AG-315-D17,50.18,0,1,1,1,25,Medium
AG-315-E23,0,0,0,0,0,0,Low
AG-315-I10,12.24,0,0,0,0,5,Low
AG-315-I14,50.93,0,0,0,0,18,Medium
AG-315-J23,32.29,0,0,0,0,8,Low
AG-315-K21,24.2,0,1,1,1,11,Low
AG-315-L02,22.28,0,0,0,0,8,Low
AG-315-L09,14.04,0,0,0,0,4,Low
AG-315-M16,31.03,0,0,0,0,13,Low
AG-315-N05,0,0,0,0,0,0,Low
AG-315-N18,45.52,0,0,0,0,21,Low
AG-315-O03,28.69,0,0,0,0,8,Low
AG-316-A05,6.9,0,0,0,0,1,Low
AG-316-A11,4.17,0,1,0,1,2,Low
AG-316-A15,0,0,0,0,0,0,Low
AG-316-A20,0,0,0,0,0,1,Low
AG-316-B04,0,0,0,0,0,0,Low
AG-316-D23,8.33,0,1,1,1,14,Low
AG-316-G21,6.9,0,1,1,1,6,Low
AG-316-J07,0,0,0,0,0,2,Low
AG-316-J08,0,0,0,0,0,0,Low
AG-316-K06,0,0,0,0,0,1,Low
AG-316-L16,20.69,1.72,0,0,0,6,Low
AG-316-L21,10.34,0,0,0,0,4,Low
AG-316-M09,3.45,0,0,0,0,2,Low
AG-316-N21,0,0,0,0,0,5,Low
AG-316-N23,20.69,0,0,0,0,2,Low
AG-316-O18,0,0,0,0,0,0,Low
AG-316-P04,25.86,0,0,0,0,11,Low
AG-316-P23,12.07,0,0,0,0,2,Low
AG-319-A01,57.28,0,1,1,1,28,Medium
AG-319-A02,53.55,0.39,0,0,0,24,Medium
AG-319-A04,55.57,0.1,0,0,0,18,Medium
AG-319-A05,47.17,0,0,0,0,11,Low
AG-319-A06,13.31,0,0,0,0,5,Low
AG-319-A07,0,0,0,0,0,0,Low
AG-319-A08,59.58,0,0,0,0,29,Medium
AG-319-A09,70.55,0,1,1,1,24,Medium
AG-319-A10,0,0,0,0,0,0,Low
AG-319-A11,44.15,0,1,1,1,22,Low
AG-319-A13,38.3,0,1,0,1,14,Low
AG-319-A14,31.03,0,0,0,0,12,Low
AG-319-A15,7.14,0,0,0,0,3,Low
AG-319-A16,12.07,0,1,0,1,5,Low
AG-319-A17,6.25,0,1,1,1,3,Low
AG-319-A18,36.98,0,0,0,0,8,Low
AG-319-A19,17.92,0,0,0,0,4,Low
AG-319-A22,10.82,0,0,0,0,0,Low
AG-319-A23,21.69,0.11,1,0,0,8,Low
AG-319-B02,5.97,0,0,0,0,4,Low
AG-319-B03,39.66,3.45,0,0,0,7,Low
AG-319-B04,4.17,0,0,0,0,1,Low
AG-319-B05,85.39,0.66,1,0,1,30,Medium
AG-319-B06,20.07,0,0,1,1,11,Low
AG-319-B07,41.32,0,0,1,1,20,Low
AG-319-B09,2.08,0,0,0,0,1,Low
AG-319-B10,47.44,0.54,1,1,1,13,Low
